     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.055,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.050,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.053,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.048,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.041,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.036,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.037,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.046,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.037,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.032,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.031,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
         1,         0,         0,   0.033,bposd,becaafe1053d405ff3a6056be8d3cbc5555009998f303a8b238d871ba22b9e0d,"{""A"":""'300207'"",""B"":""'031020'"",""b"":""X"",""excl_opp_b_detectors"":""True"",""l"":12,""m"":12,""nkd"":""[[288_12_18]]"",""noise"":""helios"",""p"":0.001,""r"":18,""seq_gates"":""True""}",
