     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,    7.64,bposd,db2ab65bb6843a34a060b1aa27a3f91c8e01ca1edee8dac45b6e2dd248e139fd,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.02,bposd,94971f34154af9187eb42eb2f731ead7ef113a38bbca440630a88705563e9285,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    8.30,bposd,76a9bf805ff820f1a3cd73b91602782498773a5c3bf0f2b785c62f8f7827f477,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.81,bposd,f74d1a172884353a3bca21e1e9446cf0aa42a1c9086eaa9aa8079d83d7b3cb54,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    9.69,bposd,24205e7e46188a112937c86699e6c524d939d7045d1dcb0002fbcfd6ef82d6e8,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    9.81,bposd,73f31f5d543f9b33440121976a16f16dbb4c7a8d4fbd38e95645de8714ec8960,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    10.4,bposd,e06f6dc266c376182084e222c806f74bf17c23850488a461025c31fa76d95008,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    15.3,bposd,1d4bb7e941e00dd7d7766b33bd04bb35ae295ada2acd4b4d579c67ce1bd5c800,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.88,bposd,f06bdf00f59cb97eeef003f1d9c7082c67a6512b3a46b4c398694eff12280d04,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    9.30,bposd,c909bd40418ef239051f8ed8ac457b9d02c9d208ac1a7c3f1074a07843059732,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.92,bposd,f8da8dffb353f95a4b62f021191978c5f745053d4997a41fd28722598668397c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.02,bposd,5f7369d1fe65f99118ae0f6a5c9f5c0d3f92e2315baceb4b2a6dfd6eff3c910b,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.31,bposd,6b106882023c0b91973c084cc06d3e83e718ef12fbec950a0674e61bf4d1415d,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.84,bposd,ba100a4e8ee39b3e958b98fb1edbb3a05fcf649cc48ef599e76db9825d5b6514,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    11.1,bposd,5226e56b71e893d6e9fa84128885e65a955acee7ffbcd7e2247928e9f0a0b604,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.006,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.83,bposd,424626e2694406acff53e10a4ad68d33f95532506d82782911db802ddc4e7679,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.54,bposd,ff05f03f560a227f9c470962616abc1197433313553b0978eb6422cc579c29ed,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.96,bposd,e083f73b2d6ff6bd473d29a25ead21d84728afacae857dc6738c247ac59089bd,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.60,bposd,d24d97258f05d9d380f718829a92da4b070e41d72e5bb089f61845dbd163ff44,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.006,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    8.10,bposd,d66a4514820747f6d4b99c19a2f41a38aac66d75161bbbdd4e84241d1694eb33,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.006,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    9.13,bposd,506004986dc09ad145701567d4e280a062b820155ae41f0aabcb53a711b80783,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    10.4,bposd,9905fb97103921f7320cea5bb2d522f32e03ed033925d8615f7c1515d8d54878,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.81,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    8.33,bposd,d7431c178c32c60fb4fc77ff37e4267c84a4973398537acf74fda2e11812c30c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    18.8,bposd,8d2ff167c75785843cf53f501cc3ae30937aaad2e2b9c6799d3af98fa3c5162b,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    9.34,bposd,5d8f2f703c842286b3e915ca29aebd33c5a40fe9115cbee0ee9f57cf58adae79,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.78,bposd,d2b6a338ef18eac4a9321134adc6b3db43fbf22cacea74ad8e5deb35e9189788,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    10.2,bposd,f656a0413bf9e041975f9e495674a83ee128c0b6c0b5981f288f07aec81a5e1d,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.006,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    10.2,bposd,e15608f0f273dc3949339a68faeea4208271d2fcf40c9cfd0ea81fcea2be9aff,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    9.74,bposd,93a4902b9fa6575d53e7d851b8442e71ad72a6173698528b6144950960667e23,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.85,bposd,d74debfa4fd1c7c5594b51c6bc1a14fa4fc0c59f62536a59926ea21f166d7c92,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.57,bposd,e9f64cb4fa3146251daf110ba14fb2cbf18ee042742500e74cf6daae5a6d182f,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
