     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.019,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
         1,         0,         0,   0.024,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
         1,         0,         0,   0.026,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
         1,         0,         0,   0.025,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
        16,         0,         0,   0.328,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
        16,         0,         0,   0.352,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
        16,         0,         0,   0.411,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
        16,         0,         0,   0.447,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
         8,         0,         0,   0.144,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
         8,         0,         0,   0.167,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
         8,         0,         0,   0.284,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
         8,         0,         0,   0.384,bposd,22518dc01f4caa15ef87e55e291160f92c5be8926c4857e31e1813f197c6a6a8,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":36}",
