     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.011,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.011,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.014,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.017,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.011,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.022,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.011,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.010,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.090,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
         1,         0,         0,   0.016,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
        17,         0,         0,   0.125,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
        17,         0,         0,   0.140,bposd,a61e3e43d17e3f5440d23b0ac731e8aa887372e396d426156d384f96acec415e,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""code"":""BB"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""longchain"",""p"":0.001,""r"":12}",
