     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.257,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         2,         0,         0,   0.411,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         2,         0,         0,   0.498,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    1.96,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.02,bposd,506e569f5cbb19f74b83ecdf8f89e3999377ee6de2ab8e0612b49da152294ced,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.58,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.69,bposd,49eced6383d46e1008e462af39eba2c96ef13e2c7eb51ac8494aebbd69d1d3e5,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.74,bposd,d5f6201107ffbf80331a99755cb710d2841182ca62fb08e9a7f7539b70d1c44c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.85,bposd,38696a098656fb53ef44555aa0fdb3c05edcf903856e789c661cca91de1305c7,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.49,bposd,2df10244a9fbb639e7588f1026dfee78ce68e15fe5f4909ad887f544282ce087,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.01,bposd,0996b106cd2bfbc84362739badbe2e67d509bf1134f4117b346e18530f9b44d2,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.81,bposd,6a433db5f0ab490cd44e2c505ad03973f0406fca36e2fc8d2d48eea1de66fe37,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    10.1,bposd,c447c56cac486cbbbe83e8a78f61ae5960b06c4bb44ddebbda8f64ba05876a25,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    10.8,bposd,1aa1815731c3906189127efa1ca0ac40aa0d794f69f159f72bfbd862f5e02712,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    9.20,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.36,bposd,506e569f5cbb19f74b83ecdf8f89e3999377ee6de2ab8e0612b49da152294ced,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.65,bposd,38696a098656fb53ef44555aa0fdb3c05edcf903856e789c661cca91de1305c7,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.89,bposd,d5f6201107ffbf80331a99755cb710d2841182ca62fb08e9a7f7539b70d1c44c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.60,bposd,2df10244a9fbb639e7588f1026dfee78ce68e15fe5f4909ad887f544282ce087,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         2,         0,         0,    13.2,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.85,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,   0.172,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         2,         0,         0,   0.333,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.67,bposd,49eced6383d46e1008e462af39eba2c96ef13e2c7eb51ac8494aebbd69d1d3e5,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         2,         0,         0,   0.720,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.76,bposd,6a433db5f0ab490cd44e2c505ad03973f0406fca36e2fc8d2d48eea1de66fe37,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         2,         0,         0,   0.485,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         2,         0,         0,   0.327,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
