     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.035,bposd,61c534740e4062303214600ddef552ef41864a7771b7f43ccc89e1427599a0d7,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.005,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.026,bposd,191d7b165b8ddd71e2b31db3d0ea2297106ee1ea6cbf7f513a9ba953c529b557,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.001,""r"":6,""seq_gates"":""True""}",
         1,         0,         0,   0.010,bposd,2c0bb16a5dd60d6f41fc62f046e4974229a6e94c3e013e7d282e513af097c0ac,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.002,""r"":10,""seq_gates"":""True""}",
        17,         0,         0,   0.025,bposd,7ec8a317712996cb095c374dd9686d9d3d7db5adfb7279665d0b9dc935e83304,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.0005,""r"":6,""seq_gates"":""True""}",
         1,         0,         0,   0.011,bposd,30c177c98fd713acc198aa6004ed43e72754c8c976d4fcb6372a8b689d0beccb,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules"",""p"":0.002,""r"":10,""seq_gates"":""True""}",
        17,         0,         0,   0.068,bposd,808e5b7ea4c6f5536998ae05c72e8727474cc23443a39e4ea0ed42c60be8fd51,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.002,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.038,bposd,3dc74196b143ccbfea07f48d78a530dfa0c6fd990199317a1162c94a2b2c7a75,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.0005,""r"":10,""seq_gates"":""True""}",
        17,         1,         0,   0.106,bposd,c86e250aeed5ddce0770098645c4d3a882c55370500f05fc16341394fa7a4cb3,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.003,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.109,bposd,9c395e5da693ec5bca36b53a3828bad1eacca60fb9cb8908f69dc78ad1a52f30,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.004,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.067,bposd,e9b2e49b5b2e7b6c25ce8b1c82c7979984bf613098c36d91e2cb8f0040843338,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.001,""r"":10,""seq_gates"":""True""}",
        17,         0,         0,   0.108,bposd,c86e250aeed5ddce0770098645c4d3a882c55370500f05fc16341394fa7a4cb3,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.003,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.077,bposd,6a3a75b29c4e02a979fbefb6e3c6d74692fd342cbc7581672c71dd6c54cabaa6,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules"",""p"":0.001,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,   0.015,bposd,dff51496f80bb876989ce7203bf89eb864438bb9ce09fe598029cb8f514493df,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules"",""p"":0.003,""r"":12,""seq_gates"":""True""}",
         1,         0,         0,   0.011,bposd,9dd79e0c7a0c5ff2b7a200482ddebdfeb42c5d27761173fffa56617c3c8ca869,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules"",""p"":0.001,""r"":12,""seq_gates"":""True""}",
         1,         1,         0,   0.106,bposd,993219ab1619eb87462016a4ae83d3d4a01ccc44b12b12aff0b813e24526c873,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.004,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,   0.111,bposd,993219ab1619eb87462016a4ae83d3d4a01ccc44b12b12aff0b813e24526c873,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.004,""r"":10,""seq_gates"":""True""}",
