     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.081,bposd,758067600b30754fea902b9cd7f81fe0bbc52bf1a2adab98c8af981776f0feb9,"{""A"":""x0y0+x2y17+x8y11"",""B"":""x0y15+x2y15+x6y11"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":10,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":21,""n"":420,""p"":0.001,""prllel_1q"":336,""prllel_2q"":84,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         4,         0,         0,   0.296,bposd,758067600b30754fea902b9cd7f81fe0bbc52bf1a2adab98c8af981776f0feb9,"{""A"":""x0y0+x2y17+x8y11"",""B"":""x0y15+x2y15+x6y11"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":10,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":21,""n"":420,""p"":0.001,""prllel_1q"":336,""prllel_2q"":84,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.070,bposd,758067600b30754fea902b9cd7f81fe0bbc52bf1a2adab98c8af981776f0feb9,"{""A"":""x0y0+x2y17+x8y11"",""B"":""x0y15+x2y15+x6y11"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":10,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":21,""n"":420,""p"":0.001,""prllel_1q"":336,""prllel_2q"":84,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.069,bposd,fc3d1967fa25a2b50f9c04e068b3dfafd73f62871a3493f394198300025333ac,"{""A"":""x0y0+x2y2+x2y9"",""B"":""x5y3+x9y0+x11y4"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":14,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":15,""n"":420,""p"":0.001,""prllel_1q"":240,""prllel_2q"":60,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.094,bposd,c5b0cdae461dd453e1fd22ada294ca3a8e407ed9efeccddf65f9c245a263399a,"{""A"":""x0y0+x0y3+x8y14"",""B"":""x1y10+x5y13+x7y9"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":14,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":15,""n"":420,""p"":0.001,""prllel_1q"":240,""prllel_2q"":60,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         8,         0,         0,   0.176,bposd,fc3d1967fa25a2b50f9c04e068b3dfafd73f62871a3493f394198300025333ac,"{""A"":""x0y0+x2y2+x2y9"",""B"":""x5y3+x9y0+x11y4"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":14,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":15,""n"":420,""p"":0.001,""prllel_1q"":240,""prllel_2q"":60,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         4,         0,         0,   0.172,bposd,c5b0cdae461dd453e1fd22ada294ca3a8e407ed9efeccddf65f9c245a263399a,"{""A"":""x0y0+x0y3+x8y14"",""B"":""x1y10+x5y13+x7y9"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":14,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":15,""n"":420,""p"":0.001,""prllel_1q"":240,""prllel_2q"":60,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         8,         0,         0,   0.206,bposd,758067600b30754fea902b9cd7f81fe0bbc52bf1a2adab98c8af981776f0feb9,"{""A"":""x0y0+x2y17+x8y11"",""B"":""x0y15+x2y15+x6y11"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":10,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":21,""n"":420,""p"":0.001,""prllel_1q"":336,""prllel_2q"":84,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         8,         0,         0,   0.212,bposd,758067600b30754fea902b9cd7f81fe0bbc52bf1a2adab98c8af981776f0feb9,"{""A"":""x0y0+x2y17+x8y11"",""B"":""x0y15+x2y15+x6y11"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":10,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":21,""n"":420,""p"":0.001,""prllel_1q"":336,""prllel_2q"":84,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.067,bposd,758067600b30754fea902b9cd7f81fe0bbc52bf1a2adab98c8af981776f0feb9,"{""A"":""x0y0+x2y17+x8y11"",""B"":""x0y15+x2y15+x6y11"",""b"":""X"",""d"":18,""excl_opp_detectors"":""True"",""k"":16,""l"":10,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":21,""n"":420,""p"":0.001,""prllel_1q"":336,""prllel_2q"":84,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
