     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.001,bposd,44c1e0622ecd50a9b9334c8cfcffe81452e6b6c1126e9e90528181e8587f91af,"{""d"":3,""heralds"":""False"",""k"":4,""n"":18}",
       273,         9,         0,   0.036,bposd,44c1e0622ecd50a9b9334c8cfcffe81452e6b6c1126e9e90528181e8587f91af,"{""d"":3,""heralds"":""False"",""k"":4,""n"":18}",
        17,         0,         0,   0.040,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
       272,         9,         0,   0.090,bposd,44c1e0622ecd50a9b9334c8cfcffe81452e6b6c1126e9e90528181e8587f91af,"{""d"":3,""heralds"":""False"",""k"":4,""n"":18}",
       227,         5,         0,   0.014,bposd,44c1e0622ecd50a9b9334c8cfcffe81452e6b6c1126e9e90528181e8587f91af,"{""d"":3,""heralds"":""False"",""k"":4,""n"":18}",
       273,        12,         0,   0.138,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
       227,         5,         0,   0.097,bposd,44c1e0622ecd50a9b9334c8cfcffe81452e6b6c1126e9e90528181e8587f91af,"{""d"":3,""heralds"":""False"",""k"":4,""n"":18}",
       227,        10,         0,   0.089,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
       128,         9,         0,   0.184,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
         1,         0,         0,   0.001,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
         1,         1,         0,   0.300,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         1,         1,         0,   0.001,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
       118,         6,         0,   0.090,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
       119,         8,         0,   0.106,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
       109,         6,         0,   0.177,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
         3,         0,         0,   0.001,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
         2,         0,         0,   0.001,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
         1,         0,         0,   0.435,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         1,         0,         0,   0.001,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
         2,         1,         0,   0.016,bposd,2fa7f41e9303de7112e3e6e12727aaf14a7a584de7035cebecbddbb042c2a79f,"{""d"":4,""heralds"":""False"",""k"":4,""n"":18}",
         2,         1,         0,   0.573,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         1,         0,         0,   0.001,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         2,         0,         0,   0.285,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
        17,         3,         0,    1.62,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         4,         1,         0,   0.468,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         4,         1,         0,   0.277,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
        16,         5,         0,    1.88,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         1,         0,   0.792,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
        16,         2,         0,    1.67,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         1,         0,   0.287,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         2,         0,    1.12,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         1,         0,   0.542,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         3,         0,    1.08,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
        17,         4,         0,    3.49,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         1,         0,         0,   0.001,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
        17,         5,         0,    3.22,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         1,         1,         0,   0.435,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         8,         2,         0,   0.940,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
        16,         2,         0,    1.52,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         2,         0,    1.18,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         5,         0,    1.32,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         1,         0,   0.681,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         4,         1,         0,   0.350,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         2,         0,    1.47,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         4,         2,         0,   0.347,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         1,         0,    1.28,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         0,         0,   0.896,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         1,         0,    1.81,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
        16,         3,         0,    2.35,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         4,         0,         0,   0.919,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         8,         4,         0,    2.60,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
         4,         0,         0,   0.977,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         4,         3,         0,   0.682,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         1,         0,   0.947,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         8,         0,         0,    1.29,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
         4,         0,         0,   0.663,bposd,0fffd03f6f932e039623e3fd1912923206d755b397801bd5e05f9feee8196ed8,"{""d"":3,""heralds"":""True"",""k"":4,""n"":18}",
        17,         5,         0,    3.02,bposd,0e168cc862ec7be26cd90a813092419e7b162d5be7e7b628807eafc755ddaa7b,"{""d"":4,""heralds"":""True"",""k"":4,""n"":18}",
